seed,task_id,task_type,policy,starts_in_model,success,task_steps,capped_steps,exploration_steps,replans,failure_reason,final_memory,final_memory_accepting,exploration_decisions,virtual_field_decisions,task_signal_available_decisions,field_changed_decisions,has_changed_decision,generic_counterfactual_action_switches,virtual_nodes_total,virtual_nodes_max,real_product_nodes_max,field_solve_seconds,max_field_residual,constant_source_roundoff_corrections,wall_seconds,cpu_seconds,sampled_peak_rss_bytes,process_peak_rss_bytes_so_far,states_known_at_end,virtual_nodes_mean
2202,3,sequence,task_virtual_frontier,False,True,18,18,1,18,success,3,True,1,1,0,0,False,0,5,5,1,0.00025339399999779744,1.1102230246251565e-16,0,0.05054072900000506,0.05053791899999993,64421888,64180224,84,5.0
2202,4,all_of,structural,False,True,13,13,1,13,success,7,True,1,0,0,0,False,0,0,0,0,0,0,0,0.05360494100000324,0.053602006999999396,64425984,64180224,84,0.0
2202,4,all_of,frontier_t0,False,True,13,13,1,13,success,7,True,1,0,0,0,False,0,0,0,0,0,0,0,0.05339421600001515,0.05338306800000048,64425984,64180224,84,0.0
2202,4,all_of,virtual_frontier,False,True,13,13,1,13,success,7,True,1,1,0,0,False,0,5,5,1,0.00025465699999926983,1.1102230246251565e-16,0,0.05400056099998096,0.053997775000000026,64425984,64180224,84,5.0
2202,4,all_of,task_virtual_frontier,False,True,13,13,1,13,success,7,True,1,1,0,0,False,0,5,5,1,0.00026517599999920094,1.1102230246251565e-16,0,0.05388088699999116,0.05387814199999941,64425984,64180224,84,5.0
2202,5,condition_then,structural,False,False,4096,4096,4096,4096,task_step_limit,1,False,4096,0,0,0,False,0,0,0,0,0,0,0,3.7436668699999984,3.743412307,67289088,67063808,125,0.0
2202,5,condition_then,frontier_t0,False,True,677,677,677,677,success,2,True,677,0,0,0,False,0,0,0,0,0,0,0,0.9295998519999955,0.929528745999999,67289088,67063808,148,0.0
2202,5,condition_then,virtual_frontier,False,True,578,578,578,578,success,2,True,578,578,12,0,False,431,38858,122,139,0.26365478700031986,6.661338147750939e-16,0,1.647247271999987,1.647116349000001,67309568,67063808,140,67.22837370242215
2202,5,condition_then,task_virtual_frontier,False,True,578,578,578,578,success,2,True,578,578,12,0,False,431,38858,122,139,0.26630829999990624,6.661338147750939e-16,0,1.6719702709999922,1.671779751999999,67309568,67063808,140,67.22837370242215
2202,6,sequence,structural,False,False,4096,4096,4096,4096,task_step_limit,1,False,4096,0,0,0,False,0,0,0,0,0,0,0,3.7701952220000123,3.769745531999998,67715072,67457024,121,0.0
2202,6,sequence,frontier_t0,False,True,660,660,660,660,success,3,True,660,0,0,0,False,0,0,0,0,0,0,0,0.8975782400000014,0.8974784480000011,67715072,67457024,146,0.0
2202,6,sequence,virtual_frontier,False,True,440,440,440,440,success,3,True,440,440,0,0,False,341,26339,86,126,0.19467425400029015,8.881784197001252e-16,0,1.1968331280000086,1.1966725989999993,67723264,67457024,127,59.861363636363635
2202,6,sequence,task_virtual_frontier,False,True,440,440,440,440,success,3,True,440,440,0,0,False,341,26339,86,126,0.19249418299995114,8.881784197001252e-16,0,1.1863374059999785,1.1862329609999982,67723264,67457024,127,59.861363636363635
2202,7,all_of,structural,False,False,4096,4096,4096,4096,task_step_limit,6,False,4096,0,0,0,False,0,0,0,0,0,0,0,4.71858072500001,4.718167533999999,67723264,67457024,121,0.0
2202,7,all_of,frontier_t0,False,True,407,407,407,407,success,7,True,407,0,0,0,False,0,0,0,0,0,0,0,0.6978028439999946,0.6977852280000008,67723264,67457024,122,0.0
2202,7,all_of,virtual_frontier,False,True,415,415,415,415,success,7,True,415,415,151,0,False,323,35526,169,195,0.2009623640000484,8.881784197001252e-16,0,1.4955260899999985,1.495383528999998,67723264,67457024,124,85.60481927710843
2202,7,all_of,task_virtual_frontier,False,True,415,415,415,415,success,7,True,415,415,141,1,True,323,34917,169,193,0.19886184700013132,8.881784197001252e-16,0,1.4684294430000193,1.4683435090000003,67723264,67457024,124,84.13734939759036
2202,8,condition_then,structural,False,True,2226,2226,2226,2226,success,2,True,2226,0,0,0,False,0,0,0,0,0,0,0,1.9383595760000105,1.9381946580000005,67723264,67457024,115,0.0
2202,8,condition_then,frontier_t0,False,True,660,660,660,660,success,2,True,660,0,0,0,False,0,0,0,0,0,0,0,0.9736155600000131,0.9735498970000016,67723264,67457024,146,0.0
2202,8,condition_then,virtual_frontier,False,True,440,440,440,440,success,2,True,440,440,110,0,False,341,32438,153,174,0.20500961499971027,6.661338147750939e-16,0,1.329049872000013,1.3288529460000014,67723264,67457024,127,73.72272727272727
2202,8,condition_then,task_virtual_frontier,False,True,465,465,465,465,success,2,True,465,465,31,2,True,357,30652,153,158,0.20582024200035676,6.661338147750939e-16,0,1.3010838390000004,1.3009563430000028,67723264,67457024,128,65.91827956989248
