capped_steps,cpu_seconds,exploration_policy_cpu_seconds,exploration_steps,failure_reason,final_memory_accepting,policy,process_peak_rss_bytes_so_far,repeat,replans,rng_seed,sampled_peak_rss_bytes,seed,states_at_end,success,task_id,task_steps,task_type,wall_seconds
142,0.18438196800000028,0.09341361799999603,122,success,True,doob_generic,64839680,0,142,76000600,64905216,73000000,54,True,6,142,sequence,0.18443885499999624
62,0.10327572899999993,0.06351019299999905,58,success,True,doob_generic,64839680,1,62,76000601,64905216,73000000,42,True,6,62,sequence,0.10327785100000142
35,0.06628117300000014,0.023860373000001545,17,success,True,doob_generic,64839680,2,35,76000602,64905216,73000000,39,True,6,35,sequence,0.06629597600000636
45,0.08520647799999992,0.028610783000004858,23,success,True,doob_generic,64839680,3,45,76000603,64905216,73000000,41,True,6,45,sequence,0.08522336999999425
55,0.09525137900000047,0.05493187100001151,51,success,True,doob_generic,64839680,4,55,76000604,64905216,73000000,41,True,6,55,sequence,0.09527981800000873
44,0.09260033800000045,0.041910596000004574,30,success,True,doob_generic,64839680,5,44,76000605,64905216,73000000,40,True,6,44,sequence,0.0926029820000025
32,0.06293160499999928,0.01939000799999846,14,success,True,doob_generic,64839680,6,32,76000606,64905216,73000000,39,True,6,32,sequence,0.0629343249999863
38,0.07222812299999859,0.03140262899999868,22,success,True,doob_generic,64839680,7,38,76000607,64905216,73000000,39,True,6,38,sequence,0.0722318859999973
136,0.30935001099999937,0.18211723399998192,122,success,True,doob_generic,64839680,8,136,76000608,64905216,73000000,54,True,6,136,sequence,0.30937217899999325
36,0.06616954999999791,0.02127629799999653,18,success,True,doob_generic,64839680,9,36,76000609,64905216,73000000,42,True,6,36,sequence,0.0661879660000011
142,0.18221006199999934,0.09244346600000242,122,success,True,doob_task,64839680,0,142,76000600,64905216,73000000,54,True,6,142,sequence,0.18222695299999714
62,0.10374309999999909,0.06395593399997779,58,success,True,doob_task,64839680,1,62,76000601,64905216,73000000,42,True,6,62,sequence,0.10374535300000787
35,0.06707368000000002,0.023900292000000434,17,success,True,doob_task,64839680,2,35,76000602,64905216,73000000,39,True,6,35,sequence,0.06707647700000052
45,0.0841512910000013,0.028689482999993743,23,success,True,doob_task,64839680,3,45,76000603,64905216,73000000,41,True,6,45,sequence,0.08415475900000047
34,0.06353109500000187,0.024534102000004054,18,success,True,doob_task,64839680,4,34,76000604,64905216,73000000,39,True,6,34,sequence,0.0635339880000032
44,0.09356342899999959,0.04248446600000477,30,success,True,doob_task,64839680,5,44,76000605,64905216,73000000,40,True,6,44,sequence,0.09357744899999432
32,0.06317851700000077,0.019637669000001523,14,success,True,doob_task,64839680,6,32,76000606,64905216,73000000,39,True,6,32,sequence,0.06318150699999592
38,0.07174647800000145,0.03104265700000397,22,success,True,doob_task,64839680,7,38,76000607,64905216,73000000,39,True,6,38,sequence,0.07175016899999775
136,0.30766369500000224,0.18025712399998994,122,success,True,doob_task,64839680,8,136,76000608,64905216,73000000,54,True,6,136,sequence,0.30768319199999894
36,0.06630028799999721,0.021220564000003606,18,success,True,doob_task,64839680,9,36,76000609,64905216,73000000,42,True,6,36,sequence,0.06630387399999904
22,0.04032901900000141,0.007561002999999289,6,success,True,deadline_generic,64839680,0,22,76000600,64905216,73000000,39,True,6,22,sequence,0.0403527679999911
24,0.03811576100000025,0.019216851999999562,20,success,True,deadline_task,64839680,0,24,76000600,64905216,73000000,40,True,6,24,sequence,0.038134635999995226
14,0.03643672599999803,0.012905082999999706,6,success,True,fixed_generic,64839680,0,14,76000700,64905216,73000000,39,True,7,14,all_of,0.03644032299999367
14,0.03650195799999878,0.012703466000001384,6,success,True,fixed_task,64839680,0,14,76000700,64905216,73000000,39,True,7,14,all_of,0.03650501600000666
26,0.08087219399999768,0.03803647899999163,16,success,True,doob_generic,64839680,0,26,76000700,64905216,73000000,39,True,7,26,all_of,0.08088756800000851
34,0.09455613400000118,0.05841511799999566,32,success,True,doob_generic,64839680,1,34,76000701,64905216,73000000,39,True,7,34,all_of,0.0945908470000063
69,0.17899464699999967,0.1111651089999981,69,success,True,doob_generic,64839680,2,69,76000702,64905216,73000000,47,True,7,69,all_of,0.17899558400000615
25,0.07368353200000044,0.040850068999997546,17,success,True,doob_generic,64839680,3,25,76000703,64905216,73000000,39,True,7,25,all_of,0.07368618399999605
46,0.1085641190000004,0.05318273600000367,36,success,True,doob_generic,64839680,4,46,76000704,64905216,73000000,46,True,7,46,all_of,0.10858121199999005
135,0.21882299399999994,0.14339947900000638,131,success,True,doob_generic,64839680,5,135,76000705,64905216,73000000,52,True,7,135,all_of,0.21887322000000609
25,0.08081684200000083,0.040528851000004806,17,success,True,doob_generic,64839680,6,25,76000706,64905216,73000000,39,True,7,25,all_of,0.08081891599999835
19,0.054101353000000074,0.021750015999995043,9,success,True,doob_generic,64839680,7,19,76000707,64905216,73000000,39,True,7,19,all_of,0.05410427799999695
48,0.13538511599999836,0.0763124640000079,46,success,True,doob_generic,64839680,8,48,76000708,64905216,73000000,40,True,7,48,all_of,0.1353934029999948
19,0.05191035600000049,0.019752020999995068,9,success,True,doob_generic,64839680,9,19,76000709,64905216,73000000,39,True,7,19,all_of,0.051913435000003005
26,0.08841865800000193,0.045205871000000286,16,success,True,doob_task,64839680,0,26,76000700,64905216,73000000,39,True,7,26,all_of,0.08842204900000183
34,0.09426199400000002,0.05843471799998312,32,success,True,doob_task,64839680,1,34,76000701,64905216,73000000,39,True,7,34,all_of,0.0942643899999922
28,0.08234669599999833,0.040971234000007684,18,success,True,doob_task,64839680,2,28,76000702,64905216,73000000,40,True,7,28,all_of,0.0823491449999949
25,0.0733372370000005,0.04084693800000494,17,success,True,doob_task,64839680,3,25,76000703,64905216,73000000,39,True,7,25,all_of,0.07334020300000077
40,0.08301022899999921,0.04553033799999184,36,success,True,doob_task,64839680,4,40,76000704,64905216,73000000,46,True,7,40,all_of,0.08301243499998634
135,0.21797384899999983,0.14365206599996938,131,success,True,doob_task,64839680,5,135,76000705,64905216,73000000,52,True,7,135,all_of,0.21800539299999855
