seed,task_id,policy,success_rate,capped_steps
73000006,7,fixed_task,1.0,77.0
73000006,7,doob_generic,1.0,412.8
73000006,7,doob_task,1.0,464.9
73000006,7,deadline_generic,1.0,77.0
73000006,7,deadline_task,1.0,52.0
73000006,8,fixed_generic,1.0,16.0
73000006,8,fixed_task,1.0,16.0
73000006,8,doob_generic,1.0,16.0
73000006,8,doob_task,1.0,16.0
73000006,8,deadline_generic,1.0,16.0
73000006,8,deadline_task,1.0,16.0
73000006,9,fixed_generic,1.0,17.0
73000006,9,fixed_task,1.0,17.0
73000006,9,doob_generic,1.0,17.0
73000006,9,doob_task,1.0,17.0
73000006,9,deadline_generic,1.0,17.0
73000006,9,deadline_task,1.0,17.0
73000006,10,fixed_generic,1.0,15.0
73000006,10,fixed_task,1.0,15.0
73000006,10,doob_generic,1.0,15.0
73000006,10,doob_task,1.0,15.0
73000006,10,deadline_generic,1.0,15.0
73000006,10,deadline_task,1.0,15.0
73000006,11,fixed_generic,1.0,15.0
73000006,11,fixed_task,1.0,15.0
73000006,11,doob_generic,1.0,20.4
73000006,11,doob_task,1.0,20.4
73000006,11,deadline_generic,1.0,15.0
73000006,11,deadline_task,1.0,15.0
73000007,0,fixed_generic,1.0,16.0
73000007,0,fixed_task,1.0,16.0
73000007,0,doob_generic,1.0,16.0
73000007,0,doob_task,1.0,16.0
73000007,0,deadline_generic,1.0,16.0
73000007,0,deadline_task,1.0,16.0
73000007,1,fixed_generic,1.0,20.0
73000007,1,fixed_task,1.0,20.0
73000007,1,doob_generic,1.0,20.0
73000007,1,doob_task,1.0,20.0
73000007,1,deadline_generic,1.0,20.0
73000007,1,deadline_task,1.0,20.0
73000007,2,fixed_generic,1.0,10.0
73000007,2,fixed_task,1.0,10.0
73000007,2,doob_generic,1.0,10.0
73000007,2,doob_task,1.0,10.0
73000007,2,deadline_generic,1.0,10.0
73000007,2,deadline_task,1.0,10.0
73000007,3,fixed_generic,1.0,16.0
73000007,3,fixed_task,1.0,16.0
73000007,3,doob_generic,1.0,16.0
73000007,3,doob_task,1.0,16.0
73000007,3,deadline_generic,1.0,16.0
73000007,3,deadline_task,1.0,16.0
73000007,4,fixed_generic,1.0,14.0
73000007,4,fixed_task,1.0,14.0
73000007,4,doob_generic,1.0,14.0
73000007,4,doob_task,1.0,14.0
73000007,4,deadline_generic,1.0,14.0
73000007,4,deadline_task,1.0,14.0
73000007,5,fixed_generic,1.0,46.0
73000007,5,fixed_task,1.0,52.0
73000007,5,doob_generic,1.0,124.8
73000007,5,doob_task,1.0,158.8
73000007,5,deadline_generic,1.0,52.0
73000007,5,deadline_task,1.0,79.0
73000007,6,fixed_generic,1.0,39.0
73000007,6,fixed_task,1.0,39.0
73000007,6,doob_generic,1.0,83.2
73000007,6,doob_task,1.0,87.5
73000007,6,deadline_generic,1.0,144.0
73000007,6,deadline_task,1.0,145.0
73000007,7,fixed_generic,1.0,12.0
73000007,7,fixed_task,1.0,12.0
73000007,7,doob_generic,1.0,12.0
73000007,7,doob_task,1.0,12.0
73000007,7,deadline_generic,1.0,12.0
73000007,7,deadline_task,1.0,12.0
73000007,8,fixed_generic,1.0,9.0
73000007,8,fixed_task,1.0,9.0
73000007,8,doob_generic,1.0,9.0
73000007,8,doob_task,1.0,9.0
73000007,8,deadline_generic,1.0,9.0
73000007,8,deadline_task,1.0,9.0
