slip,seed,task_id,task_type,planner,p_success,expected_cost,expected_steps_given_success,true_product_states,learned_states
0.05,2101,0,sequence,linear_empirical,0.9999999985955622,21.3638413115929,21.363840622524936,693,172
0.05,2101,0,sequence,certainty_equivalent,0.9999999999998506,21.52472577766342,21.524725777590124,693,172
0.05,2101,0,sequence,linear_oracle,0.9999999999999983,19.188836406851657,19.188836406850836,693,172
0.05,2101,0,sequence,shortest_oracle,0.999999999999998,19.23931579985053,19.239315799849546,693,172
0.05,2101,0,sequence,ssp_optimal,0.9999999999999977,19.178477147906484,19.178477147905337,693,172
0.05,2101,1,all_of,linear,0.9999999991128086,11.856815728323326,11.856815284600579,1380,172
0.05,2101,1,all_of,shortest,0.99999999994786,11.916936035057832,11.916936008983521,1380,172
0.05,2101,1,all_of,linear_empirical,0.9999999999919519,11.85271987087181,11.852719866846567,1380,172
0.05,2101,1,all_of,certainty_equivalent,0.9999999999650319,11.917813641474066,11.917813623987122,1380,172
0.05,2101,1,all_of,linear_oracle,0.9999999999999988,10.659626366842081,10.659626366841469,1380,172
0.05,2101,1,all_of,shortest_oracle,0.9999999999999986,10.849052003768174,10.84905200376745,1380,172
0.05,2101,1,all_of,ssp_optimal,0.9999999999999983,10.658896624455235,10.6588966244544,1380,172
0.05,2101,2,condition_then,linear,0.9999999999998372,6.380613397315504,6.38061339723321,419,172
0.05,2101,2,condition_then,shortest,0.999999999975539,6.380976155337496,6.380976142969555,419,172
0.05,2101,2,condition_then,linear_empirical,0.9999999999998379,6.380227936216887,6.380227936134929,419,172
0.05,2101,2,condition_then,certainty_equivalent,0.9999999999996833,6.38290352069112,6.382903520530967,419,172
0.05,2101,2,condition_then,linear_oracle,0.9999999999999991,6.379893135218851,6.379893135218402,419,172
0.05,2101,2,condition_then,shortest_oracle,0.9999999999999992,6.390397205626817,6.390397205626424,419,172
0.05,2101,2,condition_then,ssp_optimal,0.999999999999999,6.379662210833525,6.379662210833019,419,172
0.05,2101,3,sequence,linear,0.9999999999928547,23.385604025773826,23.38560402228254,693,172
0.05,2101,3,sequence,shortest,0.9999996701890435,24.60629709549575,24.606136347659366,693,172
0.05,2101,3,sequence,linear_empirical,0.9999999999911576,23.35520776436459,23.35520776004381,693,172
0.05,2101,3,sequence,certainty_equivalent,0.9999999999784785,23.414943262299474,23.414943251784415,693,172
0.05,2101,3,sequence,linear_oracle,0.999999999999998,23.21875513562343,23.21875513562245,693,172
0.05,2101,3,sequence,shortest_oracle,0.9999999999999974,23.54741481783625,23.547414817835,693,172
0.05,2101,3,sequence,ssp_optimal,0.9999999999999976,23.20417456701662,23.204174567015425,693,172
0.05,2101,4,all_of,linear,0.9999999992890864,18.269326089785853,18.269325738786026,1380,172
0.05,2101,4,all_of,shortest,0.9999997097199431,19.33499499048234,19.33485197961515,1380,172
0.05,2101,4,all_of,linear_empirical,0.9999999993352567,18.222192476419647,18.222192148184178,1380,172
0.05,2101,4,all_of,certainty_equivalent,0.9999999992759483,18.356573366714155,18.356573009290788,1380,172
0.05,2101,4,all_of,linear_oracle,0.9999999999999978,18.148445665701292,18.148445665700194,1380,172
0.05,2101,4,all_of,shortest_oracle,0.9999999999999977,18.31148844158046,18.31148844157931,1380,172
0.05,2101,4,all_of,ssp_optimal,0.9999999999999976,18.14063120855389,18.140631208552684,1380,172
0.05,2101,5,condition_then,linear,0.9999917279143071,11.518431894273776,11.514291833607766,379,172
0.05,2101,5,condition_then,shortest,0.9999939398168162,11.070253526031877,11.067217781608846,379,172
0.05,2101,5,condition_then,linear_empirical,0.9999917279140863,11.518431862879815,11.514291802103026,379,172
0.05,2101,5,condition_then,certainty_equivalent,0.9999939398199923,11.070675387628071,11.06763964735265,379,172
0.05,2101,5,condition_then,linear_oracle,0.9999999999999984,9.465254182670932,9.46525418267015,379,172
0.05,2101,5,condition_then,shortest_oracle,0.9999999999999988,9.589285223261484,9.589285223260871,379,172
0.05,2101,5,condition_then,ssp_optimal,0.9999999999999989,9.46525397020911,9.465253970208552,379,172
0.05,2101,6,sequence,linear,0.999999827374412,14.885813903092384,14.885728088448868,693,172
0.05,2101,6,sequence,shortest,0.9999997972015503,16.307360486722587,16.30725996100338,693,172
0.05,2101,6,sequence,linear_empirical,0.9999998273625552,14.885700859014536,14.88561503845735,693,172
0.05,2101,6,sequence,certainty_equivalent,0.999999922271747,15.235973789243355,15.23593517664047,693,172
