seed,budget,task_id,task_type,method,success,steps,shortest_product_steps,base_learned_states,task_memory_states,reachable_product_states
2505,4096,20,condition_then,product_compiler,True,16,16.0,297,3,773
2505,4096,21,sequence,static_source,False,512,26.0,297,4,0
2505,4096,21,sequence,dynamic_source,True,26,26.0,297,4,0
2505,4096,21,sequence,product_compiler,True,26,26.0,297,4,1185
2505,4096,22,all_of,static_source,False,512,25.0,297,8,0
2505,4096,22,all_of,dynamic_source,True,25,25.0,297,8,0
2505,4096,22,all_of,product_compiler,True,25,25.0,297,8,2364
2505,4096,23,condition_then,static_source,False,512,18.0,297,3,0
2505,4096,23,condition_then,dynamic_source,True,18,18.0,297,3,0
2505,4096,23,condition_then,product_compiler,True,18,18.0,297,3,710
2505,4096,24,sequence,static_source,False,512,23.0,297,4,0
2505,4096,24,sequence,dynamic_source,True,23,23.0,297,4,0
2505,4096,24,sequence,product_compiler,True,23,23.0,297,4,1185
2505,4096,25,all_of,static_source,False,512,22.0,297,8,0
2505,4096,25,all_of,dynamic_source,True,24,22.0,297,8,0
2505,4096,25,all_of,product_compiler,True,22,22.0,297,8,2364
2505,4096,26,condition_then,static_source,False,512,12.0,297,3,0
2505,4096,26,condition_then,dynamic_source,True,12,12.0,297,3,0
2505,4096,26,condition_then,product_compiler,True,12,12.0,297,3,770
2505,4096,27,sequence,static_source,False,512,19.0,297,4,0
2505,4096,27,sequence,dynamic_source,True,19,19.0,297,4,0
2505,4096,27,sequence,product_compiler,True,19,19.0,297,4,1185
2505,4096,28,all_of,static_source,False,512,17.0,297,8,0
2505,4096,28,all_of,dynamic_source,True,17,17.0,297,8,0
2505,4096,28,all_of,product_compiler,True,17,17.0,297,8,2364
2505,4096,29,condition_then,static_source,False,512,10.0,297,3,0
2505,4096,29,condition_then,dynamic_source,True,10,10.0,297,3,0
2505,4096,29,condition_then,product_compiler,True,10,10.0,297,3,770
2505,4096,30,sequence,static_source,False,512,18.0,297,4,0
2505,4096,30,sequence,dynamic_source,True,18,18.0,297,4,0
2505,4096,30,sequence,product_compiler,True,18,18.0,297,4,1185
2505,4096,31,all_of,static_source,False,512,7.0,297,8,0
2505,4096,31,all_of,dynamic_source,True,7,7.0,297,8,0
2505,4096,31,all_of,product_compiler,True,7,7.0,297,8,2364
2505,4096,32,condition_then,static_source,False,512,12.0,297,3,0
2505,4096,32,condition_then,dynamic_source,True,12,12.0,297,3,0
2505,4096,32,condition_then,product_compiler,True,12,12.0,297,3,830
2505,4096,33,sequence,static_source,False,512,15.0,297,4,0
2505,4096,33,sequence,dynamic_source,True,15,15.0,297,4,0
2505,4096,33,sequence,product_compiler,True,15,15.0,297,4,1185
2505,4096,34,all_of,static_source,False,512,16.0,297,8,0
2505,4096,34,all_of,dynamic_source,True,16,16.0,297,8,0
2505,4096,34,all_of,product_compiler,True,16,16.0,297,8,2364
2505,4096,35,condition_then,static_source,False,512,12.0,297,3,0
2505,4096,35,condition_then,dynamic_source,True,12,12.0,297,3,0
2505,4096,35,condition_then,product_compiler,True,12,12.0,297,3,710
2505,4096,36,branch,static_source,False,512,11.0,297,4,0
2505,4096,36,branch,dynamic_source,True,16,11.0,297,4,0
2505,4096,36,branch,product_compiler,True,11,11.0,297,4,1184
2505,4096,37,branch,static_source,False,512,9.0,297,4,0
2505,4096,37,branch,dynamic_source,True,17,9.0,297,4,0
2505,4096,37,branch,product_compiler,True,9,9.0,297,4,1184
2505,4096,38,branch,static_source,False,512,8.0,297,4,0
2505,4096,38,branch,dynamic_source,True,14,8.0,297,4,0
2505,4096,38,branch,product_compiler,True,8,8.0,297,4,1184
2505,4096,39,branch,static_source,False,512,12.0,297,4,0
2505,4096,39,branch,dynamic_source,True,18,12.0,297,4,0
2505,4096,39,branch,product_compiler,True,12,12.0,297,4,1184
2505,4096,40,branch,static_source,False,512,9.0,297,4,0
2505,4096,40,branch,dynamic_source,True,17,9.0,297,4,0
2505,4096,40,branch,product_compiler,True,9,9.0,297,4,1184
2505,4096,41,branch,static_source,False,512,9.0,297,4,0
2505,4096,41,branch,dynamic_source,True,17,9.0,297,4,0
2505,4096,41,branch,product_compiler,True,9,9.0,297,4,1184
2505,4096,42,branch,static_source,False,512,12.0,297,4,0
2505,4096,42,branch,dynamic_source,True,16,12.0,297,4,0
2505,4096,42,branch,product_compiler,True,16,12.0,297,4,1184
2505,4096,43,branch,static_source,False,512,9.0,297,4,0
2505,4096,43,branch,dynamic_source,True,18,9.0,297,4,0
2505,4096,43,branch,product_compiler,True,9,9.0,297,4,1184
2505,4096,44,branch,static_source,False,512,9.0,297,4,0
2505,4096,44,branch,dynamic_source,True,20,9.0,297,4,0
2505,4096,44,branch,product_compiler,True,9,9.0,297,4,1184
2505,4096,45,branch,static_source,False,512,8.0,297,4,0
2505,4096,45,branch,dynamic_source,True,8,8.0,297,4,0
