seed,budget,task_id,task_type,method,success,steps,shortest_product_steps,base_learned_states,task_memory_states,reachable_product_states
2101,2048,23,condition_then,optimal_product,True,8,8,162,3,421
2101,2048,24,sequence,static_source,False,512,24,162,4,0
2101,2048,24,sequence,dynamic_source,True,24,24,162,4,0
2101,2048,24,sequence,product_compiler,True,24,24,162,4,645
2101,2048,24,sequence,optimal_product,True,24,24,162,4,645
2101,2048,25,all_of,static_source,False,512,18,162,8,0
2101,2048,25,all_of,dynamic_source,True,18,18,162,8,0
2101,2048,25,all_of,product_compiler,True,18,18,162,8,1284
2101,2048,25,all_of,optimal_product,True,18,18,162,8,1284
2101,2048,26,condition_then,static_source,False,512,16,162,3,0
2101,2048,26,condition_then,dynamic_source,True,16,16,162,3,0
2101,2048,26,condition_then,product_compiler,True,16,16,162,3,419
2101,2048,26,condition_then,optimal_product,True,16,16,162,3,419
2101,2048,27,sequence,static_source,False,512,,162,4,0
2101,2048,27,sequence,dynamic_source,False,16,,162,4,0
2101,2048,27,sequence,product_compiler,False,0,,162,4,484
2101,2048,27,sequence,optimal_product,False,0,,162,4,484
2101,2048,28,all_of,static_source,False,512,18,162,8,0
2101,2048,28,all_of,dynamic_source,True,18,18,162,8,0
2101,2048,28,all_of,product_compiler,True,18,18,162,8,1284
2101,2048,28,all_of,optimal_product,True,18,18,162,8,1284
2101,2048,29,condition_then,static_source,False,512,8,162,3,0
2101,2048,29,condition_then,dynamic_source,True,8,8,162,3,0
2101,2048,29,condition_then,product_compiler,True,8,8,162,3,401
2101,2048,29,condition_then,optimal_product,True,8,8,162,3,401
2101,2048,30,sequence,static_source,False,512,25,162,4,0
2101,2048,30,sequence,dynamic_source,True,25,25,162,4,0
2101,2048,30,sequence,product_compiler,True,25,25,162,4,645
2101,2048,30,sequence,optimal_product,True,25,25,162,4,645
2101,2048,31,all_of,static_source,False,512,20,162,8,0
2101,2048,31,all_of,dynamic_source,True,20,20,162,8,0
2101,2048,31,all_of,product_compiler,True,21,20,162,8,1284
2101,2048,31,all_of,optimal_product,True,20,20,162,8,1284
2101,2048,32,condition_then,static_source,False,512,13,162,3,0
2101,2048,32,condition_then,dynamic_source,True,13,13,162,3,0
2101,2048,32,condition_then,product_compiler,True,13,13,162,3,325
